pident,length,taxonomy,alignment_proportion
98,300,family,0.14644529587058322
99,300,species,0.12409535972754364
99,300,genus,0.12409535972754364
99,300,family,0.12409535972754364
100,300,species,0.035334184759472115
100,300,genus,0.035334184759472115
100,300,family,0.035334184759472115
90,400,species,0.3171562366964666
90,400,genus,0.3171562366964666
90,400,family,0.3171562366964666
91,400,species,0.2950191570881226
91,400,genus,0.2950191570881226
91,400,family,0.2950191570881226
92,400,species,0.26756066411238827
92,400,genus,0.26756066411238827
92,400,family,0.26756066411238827
93,400,species,0.23988931460195828
93,400,genus,0.23988931460195828
93,400,family,0.23988931460195828
94,400,species,0.2105151128139634
94,400,genus,0.2105151128139634
94,400,family,0.2105151128139634
95,400,species,0.18731375053214133
95,400,genus,0.18731375053214133
95,400,family,0.18731375053214133
96,400,species,0.17092379736057897
96,400,genus,0.17092379736057897
96,400,family,0.17092379736057897
97,400,species,0.15495955725840782
97,400,genus,0.15495955725840782
97,400,family,0.15495955725840782
98,400,species,0.14027245636441038
98,400,genus,0.14027245636441038
98,400,family,0.14027245636441038
99,400,species,0.12111536824180502
99,400,genus,0.12111536824180502
99,400,family,0.12111536824180502
100,400,species,0.033205619412515965
100,400,genus,0.033205619412515965
100,400,family,0.033205619412515965
90,500,species,0.2977862920391656
90,500,genus,0.2977862920391656
90,500,family,0.2977862920391656
91,500,species,0.2722435078756918
91,500,genus,0.2722435078756918
91,500,family,0.2722435078756918
92,500,species,0.24776500638569604
92,500,genus,0.24776500638569604
92,500,family,0.24776500638569604
93,500,species,0.22392507449978713
93,500,genus,0.22392507449978713
93,500,family,0.22392507449978713
94,500,species,0.19561515538527033
94,500,genus,0.19561515538527033
94,500,family,0.19561515538527033
95,500,species,0.1770966368667518
95,500,genus,0.1770966368667518
95,500,family,0.1770966368667518
96,500,species,0.16177096636866753
96,500,genus,0.16177096636866753
96,500,family,0.16177096636866753
97,500,species,0.14772243507875693
97,500,genus,0.14772243507875693
97,500,family,0.14772243507875693
98,500,species,0.13495104299702002
98,500,genus,0.13495104299702002
98,500,family,0.13495104299702002
99,500,species,0.1179225202213708
99,500,genus,0.1179225202213708
99,500,family,0.1179225202213708
100,500,species,0.03022562792677735
100,500,genus,0.03022562792677735
100,500,family,0.03022562792677735
90,600,species,0.27181779480630053
90,600,genus,0.27181779480630053
90,600,family,0.27181779480630053
91,600,species,0.24882928905917412
91,600,genus,0.24882928905917412
91,600,family,0.24882928905917412
92,600,species,0.227330779054917
92,600,genus,0.227330779054917
92,600,family,0.227330779054917
93,600,species,0.2062579821200511
93,600,genus,0.2062579821200511
93,600,family,0.2062579821200511
94,600,species,0.18326947637292465
94,600,genus,0.18326947637292465
94,600,family,0.18326947637292465
95,600,species,0.16879523201362281
95,600,genus,0.16879523201362281
95,600,family,0.16879523201362281
