pident,coverage,taxonomy,accuracy
100,95,genus,0.8201246660730187
100,95,family,0.92520035618878
90,96,species,0.3488813045127038
90,96,genus,0.5722411831626849
90,96,family,0.664012135001896
91,96,species,0.4138093001409112
91,96,genus,0.669798027242837
91,96,family,0.7674964772193518
92,96,species,0.4302496328928047
92,96,genus,0.667156142927068
92,96,family,0.7655408712677435
93,96,species,0.4423754403623553
93,96,genus,0.6784096628082537
93,96,family,0.7760442878711625
94,96,species,0.514760147601476
94,96,genus,0.7435424354243543
94,96,family,0.8487084870848709
95,96,species,0.5087265675500969
95,96,genus,0.7517776341305753
95,96,family,0.8558500323206205
96,96,species,0.5164041994750657
96,96,genus,0.7532808398950132
96,96,family,0.8589238845144357
97,96,species,0.6027049873203719
97,96,genus,0.8300929839391378
97,96,family,0.9366018596787827
98,96,species,0.620253164556962
98,96,genus,0.8318264014466547
98,96,family,0.9385171790235082
99,96,species,0.620253164556962
99,96,genus,0.8318264014466547
99,96,family,0.9385171790235082
100,96,species,0.620253164556962
100,96,genus,0.8318264014466547
100,96,family,0.9385171790235082
90,97,species,0.3855060034305317
90,97,genus,0.630360205831904
90,97,family,0.7289879931389366
91,97,species,0.44272445820433437
91,97,genus,0.7146542827657378
91,97,family,0.8194014447884417
92,97,species,0.4642082429501085
92,97,genus,0.7169197396963124
92,97,family,0.8232104121475055
93,97,species,0.47292817679558014
93,97,genus,0.7226519337016575
93,97,family,0.8270718232044199
94,97,species,0.5384615384615384
94,97,genus,0.7790927021696252
94,97,family,0.8882314266929652
95,97,species,0.5343988881167477
95,97,genus,0.7908269631688672
95,97,family,0.8992355802640722
96,97,species,0.5400280898876404
96,97,genus,0.7893258426966292
96,97,family,0.898876404494382
97,97,species,0.6073883161512027
97,97,genus,0.8298969072164949
97,97,family,0.936426116838488
98,97,species,0.6261510128913443
98,97,genus,0.8314917127071824
98,97,family,0.9383057090239411
99,97,species,0.6261510128913443
99,97,genus,0.8314917127071824
99,97,family,0.9383057090239411
100,97,species,0.6261510128913443
100,97,genus,0.8314917127071824
100,97,family,0.9383057090239411
90,98,species,0.3961010190518387
90,98,genus,0.6251661497563137
90,98,family,0.7235268054940186
91,98,species,0.45983827493261453
91,98,genus,0.7153638814016172
91,98,family,0.8210242587601078
92,98,species,0.4685777287761852
92,98,genus,0.7221609702315325
92,98,family,0.8269018743109151
93,98,species,0.4764309764309764
93,98,genus,0.7278338945005611
93,98,family,0.8305274971941639
94,98,species,0.5460040295500336
94,98,genus,0.7864338482202821
94,98,family,0.8945601074546675
95,98,species,0.5386779184247539
95,98,genus,0.7932489451476793
95,98,family,0.9022503516174403
96,98,species,0.5444207533759773
