pident,length,taxonomy,accuracy
93,400,genus,0.8243123336291038
93,400,family,0.9086069210292813
94,400,species,0.6804853387259858
94,400,genus,0.8614762386248737
94,400,family,0.9464105156723963
95,400,species,0.7136363636363636
95,400,genus,0.8897727272727273
95,400,family,0.9738636363636364
96,400,species,0.7372353673723536
96,400,genus,0.9066002490660025
96,400,family,0.9713574097135741
97,400,species,0.7596153846153846
97,400,genus,0.9065934065934066
97,400,family,0.9766483516483516
98,400,species,0.7678300455235205
98,400,genus,0.8877086494688923
98,400,family,0.9711684370257967
99,400,species,0.81195079086116
99,400,genus,0.9156414762741653
99,400,family,0.9701230228471002
100,400,species,0.8141025641025641
100,400,genus,0.9230769230769231
100,400,family,0.9871794871794872
90,500,species,0.6025732666190136
90,500,genus,0.7919942816297355
90,500,family,0.8777698355968548
91,500,species,0.6348709929632526
91,500,genus,0.7888975762314308
91,500,family,0.8756841282251759
92,500,species,0.6323024054982818
92,500,genus,0.7895189003436426
92,500,family,0.8788659793814433
93,500,species,0.629277566539924
93,500,genus,0.7994296577946768
93,500,family,0.8906844106463878
94,500,species,0.6822633297062024
94,500,genus,0.8465723612622416
94,500,family,0.9368879216539717
95,500,species,0.71875
95,500,genus,0.8918269230769231
95,500,family,0.9771634615384616
96,500,species,0.7394736842105263
96,500,genus,0.9118421052631579
96,500,family,0.9789473684210527
97,500,species,0.7680115273775217
97,500,genus,0.9135446685878963
97,500,family,0.9827089337175793
98,500,species,0.7791798107255521
98,500,genus,0.8958990536277602
98,500,family,0.9779179810725552
99,500,species,0.8285198555956679
99,500,genus,0.927797833935018
99,500,family,0.9783393501805054
100,500,species,0.8450704225352113
100,500,genus,0.9366197183098591
100,500,family,0.9859154929577465
90,600,species,0.6350822239624119
90,600,genus,0.8277212216131559
90,600,family,0.9122944400939702
91,600,species,0.6655260906757913
91,600,genus,0.823781009409752
91,600,family,0.9101796407185628
92,600,species,0.653558052434457
92,600,genus,0.8174157303370787
92,600,family,0.9044943820224719
93,600,species,0.6501547987616099
93,600,genus,0.8235294117647058
93,600,family,0.9122807017543859
94,600,species,0.6910569105691057
94,600,genus,0.8571428571428571
94,600,family,0.9465737514518002
95,600,species,0.7238335435056746
95,600,genus,0.8978562421185372
95,600,family,0.9798234552332913
96,600,species,0.7445945945945946
96,600,genus,0.9148648648648648
96,600,family,0.981081081081081
97,600,species,0.7725947521865889
97,600,genus,0.9154518950437318
97,600,family,0.9839650145772595
98,600,species,0.7818471337579618
98,600,genus,0.8964968152866242
98,600,family,0.9777070063694268
99,600,species,0.8263254113345521
99,600,genus,0.926873857404022
99,600,family,0.9780621572212066
100,600,species,0.841726618705036
100,600,genus,0.935251798561151
100,600,family,0.9856115107913669
90,700,species,0.6274038461538461
90,700,genus,0.811698717948718
90,700,family,0.8974358974358975
91,700,species,0.6514486391571555
91,700,genus,0.8077260755048288
91,700,family,0.8946444249341527
92,700,species,0.6472275334608031
92,700,genus,0.8030592734225621
92,700,family,0.890057361376673
93,700,species,0.649104320337197
93,700,genus,0.8124341412012644
93,700,family,0.9009483667017913
94,700,species,0.6897767332549941
94,700,genus,0.8566392479435958
94,700,family,0.9447708578143361
95,700,species,0.7250639386189258
95,700,genus,0.8976982097186701
95,700,family,0.979539641943734
96,700,species,0.7503429355281207
96,700,genus,0.9163237311385459
96,700,family,0.9807956104252401
97,700,species,0.7776141384388807
97,700,genus,0.9175257731958762
97,700,family,0.9837997054491899
98,700,species,0.782258064516129
98,700,genus,0.896774193548387
98,700,family,0.9774193548387097
99,700,species,0.8256029684601113
99,700,genus,0.9257884972170687
99,700,family,0.9777365491651205
100,700,species,0.8478260869565217
