pident,length,taxonomy,accuracy
92,700,family,0.8967495219885278
93,700,species,0.7903055848261328
93,700,genus,0.880927291886196
93,700,family,0.9083245521601686
94,700,species,0.8296122209165687
94,700,genus,0.9247943595769683
94,700,family,0.9506462984723855
95,700,species,0.8618925831202046
95,700,genus,0.9616368286445013
95,700,family,0.9833759590792839
96,700,species,0.8614540466392319
96,700,genus,0.9711934156378601
96,700,family,0.9849108367626886
97,700,species,0.882179675994109
97,700,genus,0.9749631811487481
97,700,family,0.9852724594992637
98,700,species,0.8806451612903226
98,700,genus,0.967741935483871
98,700,family,0.9854838709677419
99,700,species,0.8942486085343229
99,700,genus,0.974025974025974
99,700,family,0.987012987012987
100,700,species,0.9057971014492754
100,700,genus,0.9855072463768116
100,700,family,0.9927536231884058
90,800,species,0.7583130575831306
90,800,genus,0.8613138686131386
90,800,family,0.902676399026764
91,800,species,0.7797513321492007
91,800,genus,0.8623445825932504
91,800,family,0.8996447602131439
92,800,species,0.7792836398838335
92,800,genus,0.8635043562439496
92,800,family,0.8954501452081317
93,800,species,0.7895299145299145
93,800,genus,0.8792735042735043
93,800,family,0.907051282051282
94,800,species,0.8315412186379928
94,800,genus,0.9235364396654719
94,800,family,0.9498207885304659
95,800,species,0.8645833333333334
95,800,genus,0.9635416666666666
95,800,family,0.9856770833333334
96,800,species,0.8619246861924686
96,800,genus,0.9707112970711297
96,800,family,0.9846582984658299
97,800,species,0.8822652757078987
97,800,genus,0.9746646795827124
97,800,family,0.9850968703427719
98,800,species,0.8841761827079935
98,800,genus,0.9706362153344209
98,800,family,0.9853181076672104
99,800,species,0.8955223880597015
99,800,genus,0.9738805970149254
99,800,family,0.9869402985074627
100,800,species,0.9022556390977443
100,800,genus,0.9849624060150376
100,800,family,0.9924812030075187
90,900,species,0.7593052109181141
90,900,genus,0.8618693134822167
90,900,family,0.9032258064516129
91,900,species,0.7803992740471869
91,900,genus,0.8629764065335753
91,900,family,0.9001814882032668
92,900,species,0.7784371909000989
92,900,genus,0.8635014836795252
92,900,family,0.8961424332344213
93,900,species,0.7879781420765027
93,900,genus,0.8797814207650273
93,900,family,0.9081967213114754
94,900,species,0.8333333333333334
94,900,genus,0.9263285024154589
94,900,family,0.9528985507246377
95,900,species,0.8646517739816032
95,900,genus,0.9645203679369251
95,900,family,0.9868593955321945
96,900,species,0.8647887323943662
96,900,genus,0.971830985915493
96,900,family,0.9859154929577465
97,900,species,0.8847305389221557
97,900,genus,0.9745508982035929
